Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
EU27,EU27_2020 - Europäische Union - 27 Länder (ab 2020),418030739,419504036,420413536,421912578,423104986,423960534,424641798,425273491,427482962,427998269,428473834,429240746,429723142,431190184,432762039,434416272,435816236,437227496,438725386,440047892,440660421,439942305,440552661,441257711,442883888,443666812,444802830,445534430,446098424,446824564
EU28,EU28 - Europäische Union - 28 Länder (2013-2020),475187711,476842235,477925130,479561788,480893003,481904006,482736385,483512803,485877558,486577954,487259080,488240527,488962706,490691578,492555798,494598322,496436597,498300775,500297033,502090235,503170618,502964837,504047964,505163008,507235091,508520205,510181874,511378572,512372000,513471676
EU27,EU27_2007 - Europäische Union - 27 Länder (2007-2013),470415155,472060056,473329265,475006017,476247848,477245113,478155218,478979775,481340746,482050494,482761345,483945121,484657212,486386194,488250073,490287461,492124110,493987245,495985066,497780439,498867771,498674980,499771980,500900868,502988282,504294889,505991205,507224359,508266507,509395430
BE -,BE - Belgien,9947782,9986975,10021997,10068319,10100631,10130574,10143047,10170226,10192264,10213752,10239085,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519
BE1 ,BE1 - Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,964385,960324,951217,950339,949070,951580,948122,950597,953175,954460,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492,1215290
BE10,BE10 - Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,964385,960324,951217,950339,949070,951580,948122,950597,953175,954460,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492,1215290
BE2 ,BE2 - Vlaams Gewest,5739736,5767856,5794857,5824628,5847022,5866106,5880357,5898824,5912382,5926838,5940251,5952552,5972781,5995553,6016024,6043161,6078600,6117440,6161600,6208877,6251983,6325740,6365555,6396242,6421947,6453009,6491999,6526061,6559294,6596233
BE21,BE21 - Prov. Antwerpen,1597310,1604566,1610695,1619613,1625069,1628710,1631243,1635640,1637857,1640966,1643972,1645652,1652450,1661119,1668812,1676858,1688493,1700570,1715707,1731174,1744862,1773267,1787490,1798605,1806634,1817033,1828927,1838863,1849523,1860470
BE22,BE22 - Prov. Limburg (BE),745034,750082,755593,761565,766833,771613,775302,779969,783927,787491,791178,794785,798583,802528,805786,809942,814658,820272,826690,833160,838505,846851,851558,855213,857844,861380,866970,869664,872739,875842
BE23,BE23 - Prov. Oost-Vlaanderen,1331608,1335694,1340056,1344263,1346783,1349382,1351777,1354737,1357576,1359702,1361623,1363672,1366652,1370136,1373720,1380072,1389450,1398253,1408484,1420415,1432326,1448928,1457428,1463614,1471126,1479049,1489084,1498483,1506232,1516283
BE24,BE24 - Prov. Vlaams-Brabant,963283,970985,976956,982943,989252,995266,999186,1004692,1007882,1011588,1014704,1018403,1022821,1027839,1031904,1037786,1044133,1052467,1060232,1068838,1076924,1088692,1096284,1102907,1108408,1114590,1122600,1130644,1138546,1146643
BE25,BE25 - Prov. West-Vlaanderen,1102501,1106529,1111557,1116244,1119085,1121135,1122849,1123786,1125140,1127091,1128774,1130040,1132275,1133931,1135802,1138503,1141866,1145878,1150487,1155290,1159366,1168002,1172795,1175903,1177935,1180957,1184418,1188407,1192254,1196995
BE3 ,BE3 - Région wallonne,3243661,3258795,3275923,3293352,3304539,3312888,3314568,3320805,3326707,3332454,3339516,3346457,3358560,3368250,3380498,3395942,3413978,3435879,3456775,3475671,3498384,3538120,3559017,3576524,3586142,3600164,3617833,3626571,3633803,3643996
BE31,BE31 - Prov. Brabant wallon,315358,321304,325621,329614,332966,336505,339062,341565,344508,347423,349884,352018,355207,358012,360717,363776,366481,370460,373492,375645,379515,383648,386683,389308,391609,394344,397745,399735,401508,404270
BE32,BE32 - Prov. Hainaut,1278039,1280336,1283252,1285934,1286639,1286649,1284761,1284347,1282783,1280427,1279467,1279823,1281042,1281706,1283200,1286275,1290079,1294844,1300097,1304436,1309880,1319745,1325819,1331455,1334423,1337780,1341267,1342053,1343756,1346082
BE33,BE33 - Prov. Liège,998213,1000696,1006081,1011368,1014689,1015007,1013729,1014941,1016762,1018259,1019442,1020042,1024130,1025842,1029605,1034024,1040297,1047414,1053722,1060035,1067685,1082136,1088074,1093191,1095661,1098903,1103490,1106039,1108371,1110068
BE34,BE34 - Prov. Luxembourg (BE),230827,232740,234664,236850,238142,240281,241339,242526,243790,245140,246820,248750,250406,252295,254120,256004,258547,261178,264084,266950,269023,273205,275713,277690,278219,280261,283257,284617,285010,286685
BE35,BE35 - Prov. Namur,421224,423719,426305,429586,432103,434446,435677,437426,438864,441205,443903,445824,447775,450395,452856,455863,458574,461983,465380,468605,472281,479386,482728,484880,486230,488876,492074,494127,495158,496891
BG -,BG - Bulgarien,8767308,8669269,8595465,8484863,8459763,8427418,8384715,8340936,8283200,8230371,8190876,8149468,7868815,7805506,7745147,7688573,7629371,7572673,7518002,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039
BG3 ,BG3 - Severna i yugoiztochna Bulgaria,4730338,4675689,4638021,4579774,4561808,4536558,4506228,4478614,4439434,4398511,4364632,4328514,4169387,4115423,4064253,4017103,3968665,3922739,3878688,3836745,3798246,3755275,3724884,3693421,3664440,3631150,3596383,3560451,3524208,3487586
BG31,BG31 - Severozapaden,1199004,1187620,1178488,1166687,1157224,1143962,1132206,1123071,1110875,1094487,1081257,1067180,1015303,993778,973553,954395,934755,916308,898371,881573,865332,848230,836601,823469,810401,797142,783909,769623,755956,742304
BG32,BG32 - Severen tsentralen,1150702,1130138,1117561,1096989,1093159,1089887,1084790,1076255,1066275,1055616,1047670,1040117,982500,966969,952025,938073,923643,909962,897075,884857,873801,862120,853468,844511,835813,825536,815441,805441,794998,784168
BG33,BG33 - Severoiztochen,1109186,1093617,1082553,1067248,1064816,1057657,1050129,1046134,1038529,1032801,1026019,1017848,1013873,1007579,1001647,996533,991217,986125,981143,976062,971932,966328,961965,957460,954536,949957,944458,939262,933705,929035
