"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1998",125587,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1999",127963,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2000",133568,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2001",137534,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2002",150513,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2003",160580,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2004",168700,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2005",183944,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2006",189425,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2007",198961,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2008",218684,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2009",237163,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2010",258624,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2011",261420,"E"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2012",290570,"E"
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2013",319000,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2014",367700,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2015",401600,
"AUS","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2016",413490,
"AUT","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1998",14714,
"AUT","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","1999",15039,
"AUT","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2000",16602,
"AUT","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2001",16895,
"AUT","FREIGHTTRANSP","RAIL","MLN_TONNEKM","A","2002",17132,
