;OeffentlichesLaden
;
0;0.0000934
1;0.0000907
2;0.0000894
3;0.0000892
4;0.0000885
5;0.0000872
6;0.0000869
7;0.0000862
8;0.0000887
9;0.0000941
10;0.000114715
11;0.000125216
12;0.000129026
13;0.000129825
14;0.000132144
15;0.0001278
16;0.000124652
17;0.000116994
18;0.000112722
19;0.000114122
20;0.000115128
21;0.000110599
22;0.000101442
23;0.0000888
24;0.0000823
25;0.0000802
26;0.0000786
27;0.0000776
28;0.0000768
29;0.0000765
30;0.0000764
31;0.0000748
32;0.0000758
33;0.0000785
34;0.0000855
35;0.0000927
36;0.000117511
37;0.000128142
38;0.000131014
39;0.000134758
40;0.000134608
41;0.000130273
42;0.000125571
43;0.000121948
44;0.000114001
45;0.000105056
46;0.000095
47;0.0000879
48;0.0000869
49;0.0000875
50;0.0000872
51;0.0000865
52;0.0000853
53;0.0000826
54;0.0000838
55;0.0000944
56;0.000115331
57;0.000136478
58;0.000150388
59;0.000151981
60;0.000148468
61;0.000147145
62;0.000145415
63;0.000140044
64;0.000134671
65;0.000123652
66;0.00011965
67;0.000124036
68;0.000124303
69;0.000110445
70;0.0000963
71;0.0000904
72;0.000088
73;0.0000871
74;0.0000863
75;0.0000855
76;0.0000856
77;0.0000851
78;0.0000871
79;0.0000939
80;0.000110049
81;0.000132773
82;0.000150096
83;0.000154876
84;0.000150029
85;0.000147
86;0.000140753
87;0.000135936
88;0.000133332
89;0.000129543
90;0.000128285
91;0.000131307
92;0.00011912
93;0.000116983
94;0.000105949
95;0.0000987
96;0.0000972
97;0.0000977
98;0.0000978
99;0.0000964
100;0.0000959
101;0.000095
102;0.0000966
103;0.000106502
104;0.000121303
105;0.000142329
106;0.000157335
107;0.000158872
108;0.000157288
109;0.000147429
110;0.000140931
111;0.000134159
112;0.000126902
113;0.000125047
114;0.000128659
115;0.000137564
116;0.000133148
117;0.0001209
118;0.000108142
119;0.000101298
120;0.000102117
121;0.000101268
122;0.000100327
123;0.000099
124;0.0000984
125;0.0000974
126;0.0000968
127;0.0000985
128;0.000111605
129;0.000130465
130;0.000147473
131;0.000156966
132;0.00015996
133;0.000153285
134;0.000153812
135;0.000150303
136;0.000147321
137;0.000138504
138;0.000128398
139;0.000133723
140;0.000128967
141;0.000116378
142;0.000100777
143;0.0000953
144;0.0000921
145;0.0000915
146;0.0000912
147;0.0000899
148;0.000089
149;0.0000881
150;0.0000929
151;0.00010067
152;0.000119645
153;0.000145704
154;0.000162879
155;0.00016356
156;0.000158202
157;0.000148959
158;0.000139396
159;0.000134551
160;0.000129895
161;0.000125498
162;0.000122699
163;0.000124897
164;0.000122847
165;0.000116814
166;0.000107359
167;0.000097
168;0.0000934
169;0.0000907
170;0.0000894
171;0.0000892
172;0.0000885
173;0.0000872
174;0.0000869
175;0.0000862
176;0.0000887
177;0.0000941
178;0.000114715
179;0.000125216
180;0.000129026
181;0.000129825
182;0.000132144
183;0.0001278
184;0.000124652
185;0.000116994
186;0.000112722
187;0.000114122
188;0.000115128
189;0.000110599
190;0.000101442
191;0.0000888
192;0.0000823
193;0.0000802
194;0.0000786
195;0.0000776
196;0.0000768
197;0.0000765
198;0.0000764
199;0.0000748
200;0.0000758
201;0.0000785
202;0.0000855
203;0.0000927
204;0.000117511
205;0.000128142
206;0.000131014
207;0.000134758
208;0.000134608
209;0.000130273
210;0.000125571
211;0.000121948
212;0.000114001
213;0.000105056
214;0.000095
215;0.0000879
216;0.0000869
217;0.0000875
218;0.0000872
219;0.0000865
220;0.0000853
221;0.0000826
222;0.0000838
223;0.0000944
224;0.000115331
225;0.000136478
226;0.000150388
227;0.000151981
228;0.000148468
229;0.000147145
230;0.000145415
231;0.000140044
232;0.000134671
233;0.000123652
234;0.00011965
235;0.000124036
236;0.000124303
237;0.000110445
238;0.0000963
239;0.0000904
240;0.000088
241;0.0000871
242;0.0000863
243;0.0000855
244;0.0000856
245;0.0000851
246;0.0000871
247;0.0000939
248;0.000110049
249;0.000132773
250;0.000150096
251;0.000154876
252;0.000150029
253;0.000147
254;0.000140753
255;0.000135936
256;0.000133332
257;0.000129543
258;0.000128285
259;0.000131307
260;0.00011912
261;0.000116983
262;0.000105949
263;0.0000987
264;0.0000972
265;0.0000977
266;0.0000978
267;0.0000964
268;0.0000959
269;0.000095
270;0.0000966
271;0.000106502
272;0.000121303
273;0.000142329
274;0.000157335
275;0.000158872
276;0.000157288
277;0.000147429
278;0.000140931
279;0.000134159
280;0.000126902
281;0.000125047
282;0.000128659
283;0.000137564
284;0.000133148
285;0.0001209
286;0.000108142
287;0.000101298
288;0.000102117
289;0.000101268
290;0.000100327
291;0.000099
292;0.0000984
293;0.0000974
294;0.0000968
295;0.0000985
296;0.000111605
297;0.000130465
298;0.000147473
299;0.000156966
300;0.00015996
301;0.000153285
302;0.000153812
303;0.000150303
304;0.000147321
305;0.000138504
306;0.000128398
307;0.000133723
308;0.000128967
309;0.000116378
310;0.000100777
311;0.0000953
312;0.0000921
313;0.0000915
314;0.0000912
315;0.0000899
316;0.000089
317;0.0000881
318;0.0000929
319;0.00010067
320;0.000119645
321;0.000145704
322;0.000162879
323;0.00016356
324;0.000158202
325;0.000148959
326;0.000139396
327;0.000134551
328;0.000129895
329;0.000125498
330;0.000122699
331;0.000124897
332;0.000122847
333;0.000116814
334;0.000107359
335;0.000097
336;0.0000934
337;0.0000907
338;0.0000894
339;0.0000892
340;0.0000885
341;0.0000872
342;0.0000869
343;0.0000862
344;0.0000887
345;0.0000941
346;0.000114715
347;0.000125216
348;0.000129026
349;0.000129825
350;0.000132144
351;0.0001278
352;0.000124652
353;0.000116994
354;0.000112722
355;0.000114122
356;0.000115128
357;0.000110599
358;0.000101442
359;0.0000888
360;0.0000823
361;0.0000802
362;0.0000786
363;0.0000776
364;0.0000768
365;0.0000765
366;0.0000764
367;0.0000748
368;0.0000758
369;0.0000785
370;0.0000855
371;0.0000927
372;0.000117511
373;0.000128142
374;0.000131014
375;0.000134758
376;0.000134608
377;0.000130273
378;0.000125571
379;0.000121948
380;0.000114001
381;0.000105056
382;0.000095
383;0.0000879
384;0.0000869
385;0.0000875
386;0.0000872
387;0.0000865
388;0.0000853
389;0.0000826
390;0.0000838
391;0.0000944
392;0.000115331
393;0.000136478
394;0.000150388
395;0.000151981
396;0.000148468
397;0.000147145
398;0.000145415
399;0.000140044
400;0.000134671
401;0.000123652
402;0.00011965
403;0.000124036
404;0.000124303
405;0.000110445
406;0.0000963
407;0.0000904
408;0.000088
409;0.0000871
410;0.0000863
411;0.0000855
412;0.0000856
413;0.0000851
414;0.0000871
415;0.0000939
416;0.000110049
417;0.000132773
418;0.000150096
419;0.000154876
420;0.000150029
421;0.000147
422;0.000140753
423;0.000135936
424;0.000133332
425;0.000129543
426;0.000128285
427;0.000131307
428;0.00011912
429;0.000116983
430;0.000105949
431;0.0000987
432;0.0000972
433;0.0000977
434;0.0000978
435;0.0000964
436;0.0000959
437;0.000095
438;0.0000966
439;0.000106502
440;0.000121303
441;0.000142329
442;0.000157335
443;0.000158872
444;0.000157288
445;0.000147429
446;0.000140931
447;0.000134159
448;0.000126902
449;0.000125047
450;0.000128659
451;0.000137564
452;0.000133148
453;0.0001209
454;0.000108142
455;0.000101298
456;0.000102117
457;0.000101268
458;0.000100327
459;0.000099
460;0.0000984
461;0.0000974
462;0.0000968
463;0.0000985
464;0.000111605
465;0.000130465
466;0.000147473
467;0.000156966
468;0.00015996
469;0.000153285
470;0.000153812
471;0.000150303
472;0.000147321
473;0.000138504
474;0.000128398
475;0.000133723
476;0.000128967
477;0.000116378
478;0.000100777
479;0.0000953
480;0.0000921
481;0.0000915
482;0.0000912
483;0.0000899
484;0.000089
485;0.0000881
486;0.0000929
487;0.00010067
488;0.000119645
489;0.000145704
490;0.000162879
491;0.00016356
492;0.000158202
493;0.000148959
494;0.000139396
495;0.000134551
496;0.000129895
497;0.000125498
498;0.000122699
499;0.000124897
500;0.000122847
501;0.000116814
502;0.000107359
503;0.000097
504;0.0000934
505;0.0000907
506;0.0000894
507;0.0000892
508;0.0000885
509;0.0000872
510;0.0000869
511;0.0000862
512;0.0000887
